repo_name,language,stars,type,content,url,category
oobabooga/text-generation-webui,Python,41496,pull_request,make responses start faster by removing unnecessary cleanup calls,https://github.com/oobabooga/text-generation-webui/pull/6625,time
oobabooga/text-generation-webui,Python,41496,pull_request,update accelerate requirement from ==1.1.* to ==1.2.*,https://github.com/oobabooga/text-generation-webui/pull/6583,time
oobabooga/text-generation-webui,Python,41496,pull_request,bump fastapi from 0.112.4 to 0.115.6,https://github.com/oobabooga/text-generation-webui/pull/6567,time
Stability-AI/stablediffusion,Python,39687,pull_request,use pytorch built-in silu function to save gpu memory usage,https://github.com/Stability-AI/stablediffusion/pull/331,space
zhayujie/chatgpt-on-wechat,Python,32448,pull_request,fix: memory leak caused by scanp command due to handler's reference of plugin instance,https://github.com/zhayujie/chatgpt-on-wechat/pull/2413,space
paperless-ngx/paperless-ngx,Python,23608,pull_request,fix: obliquely trim spaces from global search,https://github.com/paperless-ngx/paperless-ngx/pull/8484,space
phidatahq/phidata,Python,17463,pull_request,"add support for mongodb for agent, memory and workflow storage ",https://github.com/phidatahq/phidata/pull/1660,space
Dao-AILab/flash-attention,Python,14946,pull_request,add a macro for namespace,https://github.com/Dao-AILab/flash-attention/pull/1419,space
Dao-AILab/flash-attention,Python,14946,pull_request,don't save inputs/outputs buffer of flashattenfunc to reduce memory usage for inference mode,https://github.com/Dao-AILab/flash-attention/pull/1383,space
Dao-AILab/flash-attention,Python,14946,pull_request,make namespace comment consistent,https://github.com/Dao-AILab/flash-attention/pull/1305,space
m-bain/whisperX,Python,13181,pull_request,divya/alignment speedup,https://github.com/m-bain/whisperX/pull/980,time
m-bain/whisperX,Python,13181,pull_request,update pyannote version + faster-whisper version ,https://github.com/m-bain/whisperX/pull/947,time
m-bain/whisperX,Python,13181,pull_request,working version with pyannote:3.3.2 and faster-whisper:1.1.0,https://github.com/m-bain/whisperX/pull/936,time
m-bain/whisperX,Python,13181,pull_request,feat: enable optional dynamic prompting for the fasterwhisperpipeline,https://github.com/m-bain/whisperX/pull/913,time
m-bain/whisperX,Python,13181,pull_request,compatible with latest faster-whisper,https://github.com/m-bain/whisperX/pull/904,time
chidiwilliams/buzz,Python,13021,pull_request,updated faster whisper to latest 1.1.0,https://github.com/chidiwilliams/buzz/pull/1023,time
chidiwilliams/buzz,Python,13021,pull_request,will use gpu for faster whisper on windows,https://github.com/chidiwilliams/buzz/pull/1022,time
openai/tiktoken,Python,12917,pull_request,make decoder and sorted_token_bytes re-use existing memory,https://github.com/openai/tiktoken/pull/352,space
openai/tiktoken,Python,12917,pull_request,add replace spaces flag,https://github.com/openai/tiktoken/pull/345,space
openai/tiktoken,Python,12917,pull_request,uses regex instead of fancy-regex - 6x speedup,https://github.com/openai/tiktoken/pull/331,time
openai/tiktoken,Python,12917,pull_request,"optimal byte_pair_encode(), 6% faster, 0.6% better compression",https://github.com/openai/tiktoken/pull/316,time
openai/tiktoken,Python,12917,pull_request,enhanced stability in token length calculation for whitespace handling,https://github.com/openai/tiktoken/pull/267,space
lucidrains/DALLE2-pytorch,Python,11197,pull_request,fixed issues with clip and deepspeed fp16,https://github.com/lucidrains/DALLE2-pytorch/pull/234,time
lucidrains/DALLE2-pytorch,Python,11197,pull_request,add deepspeed support,https://github.com/lucidrains/DALLE2-pytorch/pull/195,time
THUDM/CogVideo,Python,10148,pull_request,[fix]fix deepspeed initialization issue in finetune examples,https://github.com/THUDM/CogVideo/pull/515,time
huggingface/text-generation-inference,Python,9559,pull_request,efficient transformers backend support,https://github.com/huggingface/text-generation-inference/pull/2858,time
IdreesInc/Monocraft,Python,8512,pull_request,make ligatures character width monospaced,https://github.com/IdreesInc/Monocraft/pull/157,space
nebuly-ai/optimate,Python,8375,pull_request,pegasus speedster notebook added,https://github.com/nebuly-ai/optimate/pull/336,time
nebuly-ai/optimate,Python,8375,pull_request,"speedster refactor, add support for tpus and aws inferentia chips",https://github.com/nebuly-ai/optimate/pull/334,time
nebuly-ai/optimate,Python,8375,pull_request,"speedster refactor, add support for tpus and aws inferentia chips",https://github.com/nebuly-ai/optimate/pull/333,time
nebuly-ai/optimate,Python,8375,pull_request,vit pytorch speedster notebook added,https://github.com/nebuly-ai/optimate/pull/332,time
nebuly-ai/optimate,Python,8375,pull_request,[chatllama] rl trainer - is_deepspeed_init variable initialization,https://github.com/nebuly-ai/optimate/pull/329,time
nebuly-ai/optimate,Python,8375,pull_request,fix deepspeed multi gpu model saving,https://github.com/nebuly-ai/optimate/pull/326,time
nebuly-ai/optimate,Python,8375,pull_request,implement deepspeed multi gpu for rl resolves #307,https://github.com/nebuly-ai/optimate/pull/316,time
nebuly-ai/optimate,Python,8375,pull_request,[chatllama] add support for lora and peft efficient training,https://github.com/nebuly-ai/optimate/pull/303,time
nebuly-ai/optimate,Python,8375,pull_request,[speedster] fix bug when diffusers is not installed,https://github.com/nebuly-ai/optimate/pull/294,time
THUDM/CodeGeeX,Python,8326,pull_request,codegeex oneflow backend support int8 quantized inference and optimize inference speed,https://github.com/THUDM/CodeGeeX/pull/87,time
lucidrains/imagen-pytorch,Python,8145,pull_request,combine trainer accelerate.prepare calls to accommodate deepspeed,https://github.com/lucidrains/imagen-pytorch/pull/271,time
lucidrains/imagen-pytorch,Python,8145,pull_request,load model to cpu first to avoid extra gpu memory usage in 'cuda:0' device,https://github.com/lucidrains/imagen-pytorch/pull/132,space
lucidrains/PaLM-rlhf-pytorch,Python,7739,pull_request,fix ppo accelerate,https://github.com/lucidrains/PaLM-rlhf-pytorch/pull/62,time
lucidrains/PaLM-rlhf-pytorch,Python,7739,pull_request,add hf's accelerate,https://github.com/lucidrains/PaLM-rlhf-pytorch/pull/2,time
lucidrains/PaLM-rlhf-pytorch,Python,7739,pull_request,easier (and faster) chunk and inplace under nograd,https://github.com/lucidrains/PaLM-rlhf-pytorch/pull/1,time
modelscope/FunASR,Python,7613,pull_request,feat: speed up fbank's lfr,https://github.com/modelscope/FunASR/pull/2246,time
modelscope/FunASR,Python,7613,pull_request,feat: speed up vad's lfr,https://github.com/modelscope/FunASR/pull/2245,time
blacklanternsecurity/bbot,Python,7477,pull_request,validate postman workspaces,https://github.com/blacklanternsecurity/bbot/pull/2124,space
modelscope/modelscope,Python,7194,pull_request,fix python push model no disk space,https://github.com/modelscope/modelscope/pull/1148,space
mli/autocut,Python,6875,pull_request,add faster-whisper,https://github.com/mli/autocut/pull/108,time
mli/autocut,Python,6875,pull_request,prototype only: replace whisper with faster-whisper,https://github.com/mli/autocut/pull/94,time
OpenTalker/video-retalking,Python,6797,pull_request,codespace smpearly sturdy memory gj5gp756vfv66j,https://github.com/OpenTalker/video-retalking/pull/47,space
facebookresearch/metaseq,Python,6520,pull_request,davides/add efficiency metrics,https://github.com/facebookresearch/metaseq/pull/718,time
kohya-ss/sd-scripts,Python,5512,pull_request,improve block swap speed and apply to lora,https://github.com/kohya-ss/sd-scripts/pull/1779,time
kohya-ss/sd-scripts,Python,5512,pull_request,compute aspect ratios in log-space,https://github.com/kohya-ss/sd-scripts/pull/1741,space
